tmdb_id,title,original_title,description,release_year,image_url,external_rating_average,external_rating_count,first_air_date,last_air_date,creator_names,actor_names
60625,Рик и Морти,Rick and Morty,"Морти - самый обычный мальчик, который ничем не отличается от своих сверстников. А вот его дедуля Рик занимается необычными научными исследованиями и зачастую полностью неадекватен. Он может в любое время дня и ночи схватить внука и отправиться вместе с ним в безумные приключения с помощью построенной из разного хлама летающей тарелки, которая способна перемещаться сквозь межпространственный тоннель. Каждый раз эта парочка оказывается в самых неожиданных местах и самых нелепых ситуациях.",2013,https://image.tmdb.org/t/p/w500/cgbInj4z0x6ZSIP9z5yICrzGRhu.jpg,8.676,10900,2013-12-02,2026-05-24,"Дэн Хармон, Джастин Ройланд","Джастин Ройланд, Крис Парнелл, Спенсер Грэммер, Сара Чок, Йен Кардони, Гарри Белден, Dana Carvey, Джон Оливер, Вернер Херцог, Стивен Колбер"
1429,Атака титанов,進撃の巨人,"Уже многие годы человечество ведёт борьбу с титанами — огромными существами, которые не обладают особым интеллектом, зато едят людей и получают от этого удовольствие. После продолжительной борьбы остатки человечества построили высокую стену, окружившую страну людей, через которую титаны пройти не могли. С тех пор прошло сто лет, люди мирно живут под защитой стены. Но однажды подросток Эрэн и его сводная сестра Микаса становятся свидетелями страшного события — участок стены разрушается супертитаном, появившимся прямо из воздуха. Титаны нападают на город, и дети в ужасе видят, как один из монстров заживо съедает их мать. Эрэн клянётся, что убьёт всех титанов и отомстит за человечество.",2013,https://image.tmdb.org/t/p/w500/9whSxgqSW7dPIIMJyM4WG3BYVo7.jpg,8.678,7423,2013-04-07,2022-04-04,,"Юки Кадзи, Юи Исикава, Марина Иноуэ, Хироси Камия, Кисё Танияма, Хиро Симоно, Ёсимаса Хосоя, Ю Кобаяси, Томохиса Хасидзумэ, Томокадзу Сугита"
31911,Стальной Алхимик: Братство,鋼の錬金術師 FULLMETAL ALCHEMIST,"Нарушив главный запрет Алхимии и попытавшись воскресить маму, талантливые братья Элрики заплатили высокую цену: младший, Альфонс, потерял тело, и теперь его душа прикреплена к стальным доспехам, а старший, Эдвард, лишился руки и ноги, поэтому ему приходится пользоваться протезами — автобронёй. Благодаря проявленным способностям Эд получил звание государственного алхимика и, таким образом, стал частью военной машины государства. Теперь у него есть шанс вернуть Алу прежнее тело. Впереди странствия и приключения, разгадки страшных тайн и бесконечные сражения.",2009,https://image.tmdb.org/t/p/w500/n2M0BslYmciTcxHc0SpwSljujUG.jpg,8.7,2452,2009-04-05,2010-07-04,,"Роми Пак, Синъитиро Мики, Фумико Орикаса, Мэгуми Такамото, Риэ Кугимия, Дайсукэ Намикава, Эри Комияма, Фумихиро Окабаяши, Хидэнобу Киути, Коити Ямадэра"
46298,Охотник х Охотник,HUNTER×HUNTER,"Действие происходит в мире, где существует некая организация Охотников. Их лицензия дает им множество привилегий — возможность бесплатно путешествовать первыми классами различных видов транспорта, доступ к закрытой для других людей информации и право брать крупные суммы денег в банках. Из-за этого довольно много желающих стать Охотниками. Поэтому ежегодно проводится экзамен, на котором выбираются те немногие, кто действительно достоин быть Охотником. Главный герой, Гон Фрикс, отправляется на экзамен с целью стать Охотником и найти своего отца. Ему предстоит преодолеть много трудностей на своем пути и встретить замечательных друзей, у каждого из которых свои причины стать Охотником.",2011,https://image.tmdb.org/t/p/w500/hAoNFUYu3tOrEDgwx7OcSVMLseP.jpg,8.7,2097,2011-10-02,2014-09-23,,"Мэгуми Хан, Мария Исэ, Миюки Савасиро, Дайсукэ Намикава, Тиса Йокояма, Иссэй Футамата, Кэйдзи Фудзивара, Мицуаки Хосино, Юки Оно, Хироки Гото"
70785,Энн,Anne with an E,"13-летняя сирота Энн из-за ошибки попадает в семью приемных родителей, где перед ней открывается новая жизнь с новыми сложностями.",2017,https://image.tmdb.org/t/p/w500/2CWfSle6I5vbDjJW991Up9rXrPr.jpg,8.651,4926,2017-03-19,2019-11-24,Мойра Уолли,"Эмибет МакНалти, Джеральдин Джеймс, Роберт Холмс Томсон, Dalila Bela, Lucas Jade Zumann, Corrine Koslo, Джоанна Дуглас, Кори Грютер-Эндрю, Мэтт Уиллис, Торкиль Кольбо"
85937,Истребитель демонов,鬼滅の刃,"Действие происходит в эпоху Тайсё. Ещё с древних времён ходят слухи о том, что в лесу обитают человекоподобные демоны, которые питаются людьми и ходят по ночам, ища новую жертву. Но... это же просто легенда, ведь так?..

Танджиро Камадо — старший сын в семье, потерявший своего отца и взявший на себя заботу о своих родных. Однажды он уходит в соседний город, чтобы продать древесный уголь. Вернувшись утром, парень обнаруживает перед собой страшную картину: вся родня была зверски убита, а единственной выжившей является Нэзуко — обращённая в демона, но пока не потерявшая всю человечность младшая сестра.

С этого момента для Танджиро и Нэзуко начинается долгое и опасное путешествие, в котором мальчик намерен разыскать убийцу и узнать способ исцеления для своей сестры. Но в состоянии ли дети преодолеть все трудности и вернуться домой?",2019,https://image.tmdb.org/t/p/w500/zg3GrU3jAoTGxmlGGhkfNYMOHlb.jpg,8.634,7240,2019-04-06,2024-06-30,,"Нацуки Ханаэ, Акари Кито, Хиро Симоно, Ёсицугу Мацуока, Кацуюки Кониси, Сатоши Хино, Саори Хаями, Кэнъити Судзумура, Акира Исида, Нобухико Окамото"
85077,Избранные,The Chosen,"«Избранные» — историческая драма, основанная на жизни Иисуса и тех, кто его знал. Сериал, действие которого происходит на фоне римского угнетения в Палестине первого века, демонстрирует подлинный взгляд на революционную жизнь и учение Иисуса.",2019,https://image.tmdb.org/t/p/w500/loocNikWYS4KSZNrTFQWSKADpSd.jpg,8.736,872,2019-04-21,2025-06-29,Dallas Jenkins,"Эрик Авари, Джонатан Руми, Shahar Isaac, Elizabeth Tabish, Paras Patel, Noah James, George H. Xanthis, Абе Буэно-Халлад, Joey Vahedi, Giavani Cairo"
95557,НЕПОБЕДИМЫЙ,INVINCIBLE,"Когда в 17 лет Марк Грейсон унаследует суперспособности, он присоединяется к своему отцу, став одним из величайших героев Земли. Все его мечты исполнились - пока шокурующее событие не меняет всё.",2021,https://image.tmdb.org/t/p/w500/6rHnHgSPjKf7ffNBI7Maa3cTtTX.jpg,8.634,5815,2021-03-25,2026-04-22,,"Стивен Ян, Сандра О, Джей Кей Симмонс, Джон Хэмм, Махершала Али, Макс Буркхолдер, Сет Роген, Лорен Коэн, Micah Aliling, Клифф Кёртис"
250307,Больница Питт,The Pitt,"Повседневная жизнь медицинских работников в Питтсбургской больнице, когда онисталкиваются с личными кризисами, политикой на рабочем месте и эмоциональными нагрузками, связанными с лечением тяжелобольных пациентов, демонстрирует стойкость, необходимую для их благородного призвания.",2025,https://image.tmdb.org/t/p/w500/qNABFhduyxg5gvzFuuSPFRh2uls.jpg,8.748,757,2025-01-09,2026-04-16,Р. Скотт Геммилл,"Ноа Уайли, Трэйси Айфичор, Патрик Болл, Кэтрин ЛаНаса, Суприя Ганеш, Фиона Дуриф, Тейлор Дирден, Иза Брионес, Герран Хауэлл, Шабана Азиз"
92685,Дом Совы,The Owl House,"Самоуверенная девочка-подросток Луз попадает в Измерение демонов, где находит новых друзей — ведьму-бунтарку Эжу и невысокого воина по имени Король. В этом мире Луз погрузится в освоение колдовского ремесла и разнообразные приключения.",2020,https://image.tmdb.org/t/p/w500/ywYCENHyhSEypE6rRdJa7dQr3GX.jpg,8.665,1789,2020-01-10,2023-04-08,Dana Terrace,"Sarah-Nicole Robles, Issac Ryan Brown, Уэнди Мэлик, Тати Габриэль, Мэй Уитман, Алекс Хирш, Сисси Джонс, Зено Робинсон, Робин Аткин Даунс, Billy Kametz"
13916,Тетрадь смерти,DEATH NOTE,"Получив тетрадь, убивающую людей, лучший ученик школы решает искоренить зло, рискуя при этом самому стать его частью.",2006,https://image.tmdb.org/t/p/w500/jp2dGi0zRcaOe6dK3Gv5vp5Y5HC.jpg,8.626,4907,2006-10-04,2007-06-27,,"Мамору Мияно, Сидо Накамура, Ая Хирано, Каппэй Ямагути, Кимико Сайто, Наоя Утида, Рё Найто, Кэйдзи Фудзивара, Киёши Кобаяши, Кадзуя Накай"
42573,Слэм Данк,スラムダンク,"Сакураги Ханамичи - панк-юниор, привыкший вступать в драки и быть отвергнутым девочками, но после поступления в старшую школу он встречает девушку своей мечты, Харуко Акаги. Он сделает все, чтобы завоевать ее сердце, включая вступление в школьную баскетбольную команду, возглавляемую братом Харуко.",1993,https://image.tmdb.org/t/p/w500/tl44cjAK0UiQSH6aRLs1ActnGEp.jpg,8.7,964,1993-10-16,1996-03-23,,"Такэши Кусао, Хикару Мидорикава, Киёюки Янада, Ёку Сиоя, Рётаро Окиаю, Акико Хирамацу, 原えりこ, Хидэюки Танака, Хисао Эгава, Хотю Оцука"
65930,Моя геройская академия,僕のヒーローアカデミア,"Четырнадцатилетний Изуку Мидория рано осознал, что люди не рождаются равными. А пришло это понимание, когда его начали дразнить одноклассники, одаренные особой силой. Несмотря на то, что большинство людей в этом мире рождаются с необычными способностями, Изуку оказался среди тех немногих, кто напрочь их лишен. Однако это не стало помехой для мальчика в стремлении стать таким же легендарным героем, как Всемогущий. Для осуществления мечты Изуку не без помощи своего кумира поступает в самую престижную академию героев Юэй, но на этом, как известно, приключения только начинаются.",2016,https://image.tmdb.org/t/p/w500/aqOnGXW5eCQpfyx74Lu3GTt0AXU.jpg,8.613,5279,2016-04-03,2025-12-13,,"Даики Ямасита, Тарусукэ Сингаки, Нобухико Окамото, Кэнта Миякэ, Юки Кадзи, Сэйран Кобаяши, Аянэ Сакура, Аой Юки, Дзюнъити Сувабэ, Кайто Исикава"
31132,Обычное Шоу,Regular Show,"Приключения голубой сойки Мордекая и енота Ригби, которые пытаются оживить свою рутинную работу садовников в местном парке.",2010,https://image.tmdb.org/t/p/w500/w3wUTrB0qzXQb0qn3sV1ArZxMGw.jpg,8.636,2245,2010-09-06,2017-01-16,Джей-Джи Куинтел,"Джей-Джи Куинтел, Уильям Салиерс, Марк Хэмилл, Сэм Марин, Мэттью Мерсер, Ванесса Маршалл, Тайлер Оконма, S. Scott Bullock, Б. Дж. Уорд, Минти Льюис"
1438,Прослушка,The Wire,"Подразделение полицейских в Балтиморе пытается с помощью специальных средств и мероприятий по прослушиванию и скрытой видеосъемке довести до суда расследование преступлений организованных преступных групп, которые занимаются незаконным распространением наркотиков.",2002,https://image.tmdb.org/t/p/w500/aoy6XphJtLvCfVmLFqBLaR56BAW.jpg,8.626,2675,2002-06-02,2008-03-09,David Simon,"Доминик Уэст, Лэнс Реддик, Соня Сон, Вуд Харрис, Уэнделл Пирс, Майкл Кеннет Уильямс, Дирдри Лавджой, Идрис Эльба, Андре Ройо, J.D. Williams"
127532,Solo Leveling: Поднятие уровня в одиночку,俺だけレベルアップな件,"10 лет назад открылись врата в другой мир, где людям дозволено убивать монстров. Так появились охотники, преследующие и уничтожающие тварей. Но не каждому из них суждено повысить свой уровень и стать сильнее. Сон Джин-у был охотником низшего E-ранга, у которого не было ни единого шанса продвинуться по ранговой лестнице, пока однажды он случайно не очутился в подземелье D-ранга. Чуть не погибнув от рук чудовищ, Джин-у открывает секрет повышения уровня.",2024,https://image.tmdb.org/t/p/w500/8u56LKz0An8xa9YaFtkxsDKc5N5.jpg,8.642,1738,2024-01-07,2025-03-30,,"Тайто Бан, Гэнта Накамура, Харуна Микава, Рэина Уэда, Дайсукэ Хиракава, Хироки Тоти, Бандзё Гинга, Макото Фурукава, Акира Исида, Ясухиро Мамия"
89456,Первобытный,Primal,"Доисторические времена. Чуть было не став обедом гигантского крокодила, первобытный человек возвращается с рыбалки к родной пещере прямо в тот момент, когда стая хищных динозавров съедает его женщину и детей. Вскоре осиротевший мужчина неожиданно для себя объединяется с тираннозавром, пытающимся безуспешно защитить детёнышей от тех же хищников, что убили и его семью. Это окажется началом необычной дружбы в мире, где всё, что шевелится, или станет твоей добычей, или попытается тебя сожрать.",2019,https://image.tmdb.org/t/p/w500/im9BS6yx0V7eNTTLg6oV02jl2S.jpg,8.649,1569,2019-10-08,2026-03-15,Геннди Тартаковски,"Аарон ЛаПланте, Себастьян Васкес, Том Кенни, Джейк Дадмен, Джиллз Мэттхи, Джон Олсон, Джереми Кратчли, Летиция Эйдо, Амина Корома, Фред Таташор"
40075,Гравити Фолз,Gravity Falls,"Приключения близнецов, брата и сестры Диппера и Мэйбл Пайнс, чьи летние планы отправляются в чулан, когда родители оправляют их к дальнему родственнику в тихий городок Гравити Фолз. Но так ли прост этот город, родственник и жители, и какие тайны ждут своих первооткрывателей?",2012,https://image.tmdb.org/t/p/w500/oizbK0XcWO0AKQuTEH5suEJqfZ7.jpg,8.612,3468,2012-06-15,2016-02-15,Алекс Хирш,"Джейсон Риттер, Кристен Шаал, Алекс Хирш, Линда Карделлини, Грег Сайпс, John Roberts, Уилл Форте, Туроп Ван Орман, Грегг Теркингтон, Карл Фаруоло"
67915,Гоблин,쓸쓸하고 찬란하神-도깨비,"Бессмертный демон-токкэби много лет живет среди смертных и порядком устал от жизни. Но если ты волшебное существо, есть лишь один способ поставить точку и покинуть бренный мир — жениться на смертной. Избранницей демона становится девушка, которая может видеть призраков. А ангел смерти, чья задача провожать души умерших в загробный мир, тем временем потерял память.",2016,https://image.tmdb.org/t/p/w500/j7WFcMIYVD9Ri81KVGtmF0wCxzd.jpg,8.608,3074,2016-12-02,2017-01-21,"Ли Ын Пок, Ким Ын Сук","Гон Ю, Ким Го Ын, Ли Дон Ук, Ю Ин На, Юк Сон Джэ, Ли Эль, Ким Сон Гём, Ким Бён Чхоль, Чо У Джин, Ём Хё-ран"
72637,Одиннадцать,O11CE,"Жизнь старшеклассника Габо полностью меняется, когда его спортивный талант замечает тренер престижной футбольной школы и предлагает ему переехать в Буэнос-Айрес. На новом месте юному герою предстоит разобраться в своём прошлом, пережить яркие победы и досадные поражения и, конечно, найти новых друзей.",2017,https://image.tmdb.org/t/p/w500/8F7Lpm8lWnhhG7tcq06jkGAdLZX.jpg,8.6,1523,2017-06-19,2020-08-01,Jorge Edelstein,"Mariano González, Juan David Penagos, Sebastián Athié, Luan Brum, Emiliano González, Massimo Pomponio, Fausti Bo, Paulina Vetrano, Javier Eloy Bonanno, Renato Quattordio"
2316,Офис,The Office,"Сериал о трудовых буднях небольшого регионального офиса крупной компании, обитатели которого целыми днями должны терпеть закидоны своего непутевого босса.",2005,https://image.tmdb.org/t/p/w500/zjW7g5PGsJMy7pIr0hKdBKWcH9V.jpg,8.588,5193,2005-03-24,2013-05-16,Грег Дэниелс,"Стив Карелл, Рэйн Уилсон, Джон Красински, Дженна Фишер, Б. Дж. Новак, Эд Хелмс, Рашида Джонс, Джеймс Спэйдер, Дэвид Денман, Мелора Хардин"
42705,Первый шаг,はじめの一歩,"Сериал рассказывает о юном школьнике Магуночи Иппо из Японии. Он очень ответственный и чувственный парень, на досуге он помогает маме в рыбацком бизнесе. Из-за неприятного «рыбного» запаха его недолюбливают сверстники в школе. Все кажется несправедливым, и жизнь Магуночи окрашена в пессимистические тона. Но в надеждах на изменения в лучшую сторону он встречает боксера Такамура. Мальчик загорелся желанием заявить о себе в боксерском мире. Это и стало его главной целью в жизни.",2000,https://image.tmdb.org/t/p/w500/4DUtYqw3E7OEgzSAJd8QFQxRI95.jpg,8.648,1192,2000-10-03,2014-03-29,,"Томокадзу Сэки, Кохэй Киясу, Рикия Кояма, Ватару Такаги, Кэйдзи Фудзивара, Дзюрота Косуги, Кэндзи Уцуми, Хидэнобу Киути, Тосихико Накадзима, Хисао Эгава"
4613,Братья по оружию,Band of Brothers,"В сериале рассказывается о боевом пути роты E («Easy») 2-го батальона 506-го парашютно-десантного полка 101-й воздушно-десантной дивизии США от тренировочного лагеря в Таккоа, штат Джорджия, через высадку в Нормандии, операцию «Маркет Гарден» и Бастонское сражение до конца войны.",2001,https://image.tmdb.org/t/p/w500/yNjZUXybXqmmxnwDYa3sy5Q3Ejx.jpg,8.587,4173,2001-09-09,2001-11-04,,"Майкл Кудлиц, Рик Гомес, Скотт Граймс, Дэмиэн Льюис, Рон Ливингстон, James Madio, Нил Макдона, Донни Уолберг, Дэвид Швиммер, Том Харди"
66732,Очень странные дела,Stranger Things,"1980-е годы, тихий провинциальный американский городок. Благоприятное течение местной жизни нарушает загадочное исчезновение подростка по имени Уилл. Выяснить обстоятельства дела полны решимости родные мальчика и местный шериф, также события затрагивают лучшего друга Уилла – Майка. Он начинает собственное расследование. Майк уверен, что близок к разгадке, и теперь ему предстоит оказаться в эпицентре ожесточенной битвы потусторонних сил.",2016,https://image.tmdb.org/t/p/w500/nW3cral1e2r3xfLySPE1U9bailS.jpg,8.566,21219,2016-07-15,2025-12-31,"Росс Даффер, Мэтт Даффер","Вайнона Райдер, Дэвид Харбор, Милли Бобби Браун, Финн Вулфхард, Гейтен Матараццо, Калеб Маклафлин, Ноа Шнапп, Сэди Синк, Наталия Дайер, Чарли Хитон"
46896,Древние,The Originals,"Ребекка, Клаус и Элайджа в 20х годах активно участвовали в жизни города Новый Орлеан. Они тайно управляли его жителями, сделав его очень удобным для жизни сверхъестественных существ. Здесь, в городе клубов и алкоголя их существование превратилось в сплошное веселье. Однако, внезапное появление Майкла лишило их стабильности. Теперь, спустя годы, Древние вампиры вновь возвращаются в город, где держится уникальный баланс сил между вампирами, ведьмами и оборотнями, однако видимое спокойствие таит многие интриги.",2013,https://image.tmdb.org/t/p/w500/dsVB3Mqv5sHGGsu1SGuF3fahw0Z.jpg,8.585,3580,2013-10-03,2018-08-01,Джули Плек,"Джозеф Морган, Daniel Gillies, Phoebe Tonkin, Чарльз Майкл Дэвис, Райли Воулкел, Leah Pipes, Yusuf Gatewood, Danielle Rose Russell, Steven Krueger, Саммер Фонтана"
1408,Доктор Хаус,House,"Сериал рассказывает о команде врачей, которые должны правильно поставить диагноз пациенту и спасти его. Возглавляет команду доктор Грегори Хаус, который ходит с тростью после того, как его мышечный инфаркт в правой ноге слишком поздно правильно диагностировали. Как врач Хаус просто гений, но сам не отличается проникновенностью в общении с больными и с удовольствием избегает их, если только есть возможность. Он сам всё время проводит в борьбе с собственной болью, а трость в его руке только подчеркивает его жесткую, ядовитую манеру общения. Порой его поведение можно назвать почти бесчеловечным, и при этом он прекрасный врач, обладающий нетипичным умом и безупречным инстинктом, что снискало ему глубокое уважение. Будучи инфекционистом, он ещё и замечательный диагност, который любит разгадывать медицинские загадки, чтобы спасти кому-то жизнь. Если бы все было по его воле, то Хаус лечил бы больных не выходя из своего кабинета.",2004,https://image.tmdb.org/t/p/w500/hXoGcvNOeWZkxbaitu7ZvEM0hQJ.jpg,8.568,7581,2004-11-16,2012-05-21,Дэвид Шор,"Хью Лори, Lisa Edelstein, Роберт Шон Леонард, Омар Эппс, Дженнифер Моррисон, Джесси Спенсер, Одетт Эннэйбл, Питер Джейкобсон, Чарлин Йи, Оливия Уайлд"
35610,Инуяся,犬夜叉,"Кагомэ Хигураси живет в не совсем обычной семье и уж точно в совсем необычном доме – это храм, служителями-хранителями которого члены ее семьи являются с самого Средневековья. Храм и прилегающие постройки таят много секретов, каждый второй предмет из имущества Хигураси – какая-нибудь магическая штуковина с легендарной «биографией».

Однажды главная героиня, узнав от брата Соты о пропаже кота Буё, заходит в его поисках в пристройку с древним колодцем. И здесь она попадает в лапы… нет, не кота, а демона с телом сороконожки-переростка. От демона удается избавиться, но только на дне колодца. Выбравшись из него, девушка узнает, что перед ней не Токио конца 20-го века, а классическое захолустье эпохи Сэнгоку.",2000,https://image.tmdb.org/t/p/w500/5pMVrmb6tGmNAH0sX7guM9WbrU3.jpg,8.6,2071,2000-10-16,2010-03-30,,"Каппэй Ямагути, Сацуки Юкино, Кодзи Цудзитани, Хоко Кувасима, Кэн Нарита, Мамико Ното, Норико Хидака, Тосиюки Морикава, Izumi Ōgami, Кумико Ватанабэ"
